Primary_Guest_Name,last_stay,frequency,monetary,avg_nights,n_special_req,cancel_rate,recency_days,R,F,M,RFM_Score,Tier
Guest_058490,2023-09-27,1,3494.77,1.0,0.0,0.0,96,5,1,1,7,New
Guest_058491,2022-04-04,1,13358.96,3.0,1.0,0.0,637,1,1,4,6,Lapsed
Guest_058494,2023-08-15,1,18022.48,5.0,0.0,0.0,139,4,1,5,10,New
Guest_058501,2023-08-13,2,15318.01,2.0,0.5,0.0,141,4,5,5,14,VIP
Guest_058513,2023-09-24,1,20172.54,5.0,2.0,0.0,99,5,1,5,11,New
Guest_058525,2022-03-03,1,5882.11,2.0,1.0,0.0,669,1,1,2,4,Lapsed
Guest_058529,2022-05-24,1,11763.45,4.0,2.0,0.0,587,1,1,4,6,Lapsed
Guest_058536,2023-06-05,1,7064.92,2.0,2.0,0.0,210,4,1,3,8,New
Guest_058553,2022-10-23,1,31371.05,7.0,2.0,0.0,435,2,1,5,8,Lapsed
Guest_058560,2023-05-05,1,16724.96,4.0,1.0,0.0,241,4,1,5,10,New
Guest_058564,2022-12-23,1,3890.33,1.0,1.0,0.0,374,3,1,1,5,New
Guest_058570,2023-10-10,1,7100.49,2.0,2.0,0.0,83,5,1,3,9,New
Guest_058572,2022-11-20,1,12118.49,2.0,0.0,0.0,407,3,1,4,8,New
Guest_058578,2022-09-04,1,4382.43,1.0,0.0,0.0,484,2,1,2,5,Lapsed
Guest_058584,2023-12-31,1,4461.37,1.0,0.0,0.0,1,5,1,2,8,New
Guest_058586,2023-07-22,1,3266.78,1.0,5.0,0.0,163,4,1,1,6,New
Guest_058587,2023-04-19,1,6691.82,2.0,1.0,0.0,257,4,1,2,7,New
Guest_058594,2023-05-31,1,7031.23,2.0,0.0,0.0,215,4,1,3,8,New
Guest_058595,2023-11-12,1,8067.09,2.0,0.0,0.0,50,5,1,3,9,New
Guest_058611,2023-08-24,1,11402.63,3.0,0.0,0.0,130,4,1,4,9,New
Guest_058625,2022-09-20,1,10023.66,2.0,4.0,0.0,468,2,1,4,7,Lapsed
Guest_058631,2023-01-09,1,5522.07,1.0,2.0,0.0,357,3,1,2,6,New
Guest_058646,2023-12-30,1,3843.84,1.0,1.0,0.0,2,5,1,1,7,New
Guest_058650,2022-09-05,1,8146.03,2.0,0.0,0.0,483,2,1,3,6,Lapsed
Guest_058656,2022-08-15,1,14236.54,5.0,0.0,0.0,504,2,1,4,7,Lapsed
Guest_058664,2022-07-12,1,17695.89,5.0,0.0,0.0,538,2,1,5,8,Lapsed
Guest_058667,2023-01-02,1,8942.14,3.0,1.0,0.0,364,3,1,3,7,New
Guest_058671,2022-08-06,1,7291.33,2.0,0.0,0.0,513,2,1,3,6,Lapsed
Guest_058677,2022-09-14,1,7618.8,2.0,2.0,0.0,474,2,1,3,6,Lapsed
Guest_058686,2023-09-12,1,3235.61,1.0,0.0,0.0,111,5,1,1,7,New
Guest_058690,2023-04-09,1,4649.03,1.0,0.0,0.0,267,4,1,2,7,New
Guest_058697,2023-08-02,2,14982.46,2.0,1.0,0.0,152,4,5,4,13,VIP
Guest_058705,2023-09-22,2,14844.93,2.0,0.5,0.0,101,5,5,4,14,VIP
Guest_058712,2022-10-01,1,4444.82,1.0,0.0,0.0,457,2,1,2,5,Lapsed
Guest_058719,2023-12-25,1,15738.33,4.0,1.0,0.0,7,5,1,5,11,New
Guest_058724,2022-08-13,1,8197.06,2.0,0.0,0.0,506,2,1,3,6,Lapsed
Guest_058729,2023-09-20,1,3956.61,1.0,3.0,0.5,103,5,1,1,7,New
Guest_058745,2022-11-03,2,13554.75,1.5,1.0,0.0,424,2,5,4,11,At Risk
Guest_058759,2023-09-26,1,8151.07,2.0,1.0,0.0,97,5,1,3,9,New
Guest_058762,2023-08-19,1,3711.8,1.0,1.0,0.0,135,4,1,1,6,New
Guest_058765,2023-03-03,1,18427.63,4.0,1.0,0.0,304,3,1,5,9,New
Guest_058770,2023-12-28,1,9439.58,3.0,1.0,0.0,4,5,1,3,9,New
Guest_058774,2022-01-15,1,12535.82,3.0,2.0,0.0,716,1,1,4,6,Lapsed
Guest_058793,2023-04-11,1,17155.15,5.0,5.0,0.0,265,4,1,5,10,New
Guest_058794,2022-02-27,1,7887.82,2.0,3.0,0.0,673,1,1,3,5,Lapsed
Guest_058798,2023-05-23,1,19051.98,7.0,1.0,0.0,223,4,1,5,10,New
Guest_058815,2022-09-15,1,7121.43,2.0,2.0,0.0,473,2,1,3,6,Lapsed
Guest_058818,2022-08-26,1,11131.78,3.0,0.0,0.0,493,2,1,4,7,Lapsed
Guest_058848,2023-08-16,1,3431.27,1.0,1.0,0.0,138,4,1,1,6,New
Guest_058855,2022-06-01,1,10359.87,4.0,3.0,0.0,579,1,1,4,6,Lapsed
Guest_058857,2022-12-09,1,9733.85,2.0,0.0,0.0,388,3,1,3,7,New
Guest_058862,2023-07-17,1,14506.37,4.0,2.0,0.0,168,4,1,4,9,New
Guest_058876,2022-09-02,1,24054.8,5.0,0.0,0.0,486,2,1,5,8,Lapsed
Guest_058888,2022-10-06,1,8124.97,2.0,3.0,0.0,452,2,1,3,6,Lapsed
Guest_058891,2023-02-06,1,6496.65,2.0,1.0,0.0,329,3,1,2,6,New
Guest_058892,2022-09-24,1,11022.41,2.0,0.0,0.0,464,2,1,4,7,Lapsed
Guest_058897,2022-10-17,1,12417.13,4.0,0.0,0.0,441,2,1,4,7,Lapsed
Guest_058906,2023-07-28,1,7630.81,2.0,3.0,0.0,157,4,1,3,8,New
Guest_058908,2023-04-11,1,3318.63,1.0,3.0,0.0,265,4,1,1,6,New
Guest_058916,2022-08-01,1,3461.51,1.0,0.0,0.0,518,2,1,1,4,Lapsed
Guest_058920,2022-03-20,1,3609.93,1.0,1.0,0.0,652,1,1,1,3,Lapsed
Guest_058929,2022-03-10,1,3293.91,1.0,1.0,0.0,662,1,1,1,3,Lapsed
Guest_058931,2023-05-27,1,3431.18,1.0,2.0,0.0,219,4,1,1,6,New
Guest_058942,2022-03-11,1,4210.99,1.0,3.0,0.0,661,1,1,2,4,Lapsed
Guest_058945,2022-02-16,1,7083.66,2.0,3.0,0.0,684,1,1,3,5,Lapsed
Guest_058950,2023-01-01,1,9272.14,2.0,5.0,0.0,365,3,1,3,7,New
Guest_058959,2022-01-26,1,3142.47,1.0,0.0,0.0,705,1,1,1,3,Lapsed
Guest_058960,2023-07-22,1,3666.32,1.0,1.0,0.0,163,4,1,1,6,New
Guest_058963,2022-04-09,1,17694.94,5.0,0.0,0.0,632,1,1,5,7,Lapsed
Guest_058974,2023-10-28,1,16826.71,5.0,1.0,0.5,65,5,1,5,11,New
Guest_058980,2022-06-25,1,4365.63,1.0,0.0,0.0,555,2,1,2,5,Lapsed
Guest_058981,2022-10-25,1,6258.9,2.0,1.0,0.5,433,2,1,2,5,Lapsed
Guest_058983,2022-11-25,1,7534.58,2.0,2.0,0.0,402,3,1,3,7,New
Guest_058984,2023-02-04,1,7979.8,2.0,1.0,0.0,331,3,1,3,7,New
Guest_059002,2023-04-30,1,9362.48,2.0,3.0,0.0,246,4,1,3,8,New
Guest_059004,2022-05-27,1,3159.9,1.0,3.0,0.0,584,1,1,1,3,Lapsed
Guest_059005,2023-09-08,1,9389.54,2.0,2.0,0.0,115,5,1,3,9,New
Guest_059008,2023-06-05,1,5414.71,2.0,2.0,0.0,210,4,1,2,7,New
Guest_059011,2022-10-31,1,2936.14,1.0,0.0,0.0,427,2,1,1,4,Lapsed
Guest_059012,2023-10-14,2,25480.73,3.5,0.5,0.0,79,5,5,5,15,VIP
Guest_059013,2022-04-14,1,10973.02,3.0,4.0,0.0,627,1,1,4,6,Lapsed
Guest_059014,2023-05-14,1,10935.89,3.0,2.0,0.0,232,4,1,4,9,New
Guest_059018,2023-04-03,1,7777.53,2.0,4.0,0.0,273,3,1,3,7,New
Guest_059024,2023-08-27,1,12586.12,3.0,2.0,0.5,127,4,1,4,9,New
Guest_059030,2023-03-25,2,18683.52,2.5,1.0,0.0,282,3,5,5,13,VIP
Guest_059032,2023-08-11,1,18105.38,4.0,3.0,0.0,143,4,1,5,10,New
Guest_059044,2023-06-29,1,10041.7,3.0,0.0,0.0,186,4,1,4,9,New
Guest_059052,2022-03-29,1,13217.03,4.0,0.0,0.0,643,1,1,4,6,Lapsed
Guest_059053,2022-08-19,1,9655.13,3.0,0.0,0.0,500,2,1,3,6,Lapsed
Guest_059054,2023-09-16,1,8318.02,2.0,0.0,0.0,107,5,1,3,9,New
Guest_059059,2023-06-02,1,6625.4,2.0,1.0,0.0,213,4,1,2,7,New
Guest_059069,2023-09-18,1,2830.14,1.0,0.0,0.0,105,5,1,1,7,New
Guest_059073,2023-08-18,1,8768.39,2.0,0.0,0.0,136,4,1,3,8,New
Guest_059083,2023-04-14,1,20663.55,5.0,0.0,0.5,262,4,1,5,10,New
Guest_059086,2022-09-15,1,3222.56,1.0,0.0,0.0,473,2,1,1,4,Lapsed
Guest_059087,2023-04-30,1,4373.47,1.0,0.0,0.0,246,4,1,2,7,New
Guest_059104,2023-12-08,1,4301.38,1.0,0.0,0.0,24,5,1,2,8,New
Guest_059112,2023-10-12,1,22143.52,4.0,3.0,0.0,81,5,1,5,11,New
Guest_059115,2023-02-15,1,3038.12,1.0,1.0,0.0,320,3,1,1,5,New
Guest_059121,2023-03-29,1,3943.33,1.0,1.0,0.0,278,3,1,1,5,New
Guest_059124,2023-04-25,1,6120.8,2.0,1.0,0.0,251,4,1,2,7,New
Guest_059125,2023-03-24,1,7884.6,2.0,1.0,0.0,283,3,1,3,7,New
Guest_059130,2022-05-21,1,7104.0,2.0,1.0,0.0,590,1,1,3,5,Lapsed
Guest_059132,2023-08-21,1,5355.39,2.0,2.0,0.0,133,4,1,2,7,New
Guest_059140,2022-04-30,1,8604.96,2.0,1.0,0.0,611,1,1,3,5,Lapsed
Guest_059142,2023-02-18,1,4828.12,1.0,3.0,0.0,317,3,1,2,6,New
Guest_059187,2023-10-14,1,8522.75,2.0,0.0,0.0,79,5,1,3,9,New
Guest_059191,2023-10-23,1,31428.5,6.0,0.0,0.0,70,5,1,5,11,New
Guest_059194,2022-05-06,1,18152.57,5.0,1.0,0.0,605,1,1,5,7,Lapsed
Guest_059205,2022-03-26,1,23707.35,6.0,0.0,0.0,646,1,1,5,7,Lapsed
Guest_059218,2023-06-05,1,5735.88,2.0,0.0,0.0,210,4,1,2,7,New
Guest_059221,2023-06-10,1,6856.93,2.0,0.0,0.0,205,4,1,2,7,New
Guest_059222,2023-09-16,1,3757.11,1.0,4.0,0.0,107,5,1,1,7,New
Guest_059228,2023-08-26,1,15935.58,4.0,1.0,0.0,128,4,1,5,10,New
Guest_059234,2023-01-14,2,30568.37,3.5,0.5,0.0,352,3,5,5,13,VIP
Guest_059239,2022-10-09,2,15404.130000000001,1.5,2.0,0.0,449,2,5,5,12,At Risk
Guest_059241,2022-12-29,2,16791.85,2.5,0.5,0.0,368,3,5,5,13,VIP
Guest_059248,2023-12-12,1,12210.76,2.0,1.0,0.0,20,5,1,4,10,New
Guest_059249,2023-07-08,1,7344.29,2.0,3.0,0.0,177,4,1,3,8,New
Guest_059251,2022-03-19,1,6282.0,1.0,2.0,0.0,653,1,1,2,4,Lapsed
Guest_059257,2023-04-09,1,14287.29,3.0,1.0,0.0,267,4,1,4,9,New
Guest_059262,2022-07-28,1,3534.81,1.0,0.0,0.0,522,2,1,1,4,Lapsed
Guest_059268,2023-07-28,1,7830.5,2.0,3.0,0.0,157,4,1,3,8,New
Guest_059271,2023-07-17,1,3713.71,1.0,0.0,0.0,168,4,1,1,6,New
Guest_059278,2023-10-26,1,7137.85,2.0,1.0,0.0,67,5,1,3,9,New
Guest_059285,2023-04-13,1,22839.47,6.0,1.0,0.0,263,4,1,5,10,New
Guest_059290,2022-05-22,1,4317.5,1.0,0.0,0.0,589,1,1,2,4,Lapsed
Guest_059305,2023-04-09,1,9382.2,2.0,0.0,0.0,267,4,1,3,8,New
Guest_059321,2022-07-29,1,3197.26,1.0,0.0,0.0,521,2,1,1,4,Lapsed
Guest_059322,2023-12-06,1,5421.4,2.0,0.0,0.0,26,5,1,2,8,New
Guest_059323,2022-11-09,1,12402.7,4.0,2.0,0.0,418,3,1,4,8,New
Guest_059344,2023-07-29,1,6010.37,1.0,1.0,0.0,156,4,1,2,7,New
Guest_059345,2022-03-23,1,10914.53,4.0,1.0,0.0,649,1,1,4,6,Lapsed
Guest_059348,2023-12-15,1,4551.5,1.0,0.0,0.0,17,5,1,2,8,New
Guest_059350,2023-08-03,1,10328.4,3.0,1.0,0.0,151,4,1,4,9,New
Guest_059363,2022-08-16,1,3682.71,1.0,1.0,0.0,503,2,1,1,4,Lapsed
Guest_059374,2023-09-15,1,15966.25,3.0,1.0,0.0,108,5,1,5,11,New
Guest_059383,2022-12-15,1,3716.62,1.0,2.0,0.0,382,3,1,1,5,New
Guest_059386,2022-03-20,1,17548.16,4.0,0.0,0.0,652,1,1,5,7,Lapsed
Guest_059394,2023-01-26,1,18053.62,6.0,0.0,0.0,340,3,1,5,9,New
Guest_059395,2023-08-15,1,3171.08,1.0,0.0,0.5,139,4,1,1,6,New
Guest_059403,2022-12-01,1,3610.47,1.0,0.0,0.0,396,3,1,1,5,New
Guest_059415,2023-07-10,1,3519.66,1.0,2.0,0.0,175,4,1,1,6,New
Guest_059417,2022-11-11,1,14155.21,3.0,1.0,0.0,416,3,1,4,8,New
Guest_059419,2022-04-08,1,8935.29,2.0,1.0,0.0,633,1,1,3,5,Lapsed
Guest_059421,2022-03-20,1,7601.69,2.0,1.0,0.0,652,1,1,3,5,Lapsed
Guest_059424,2023-09-27,1,19740.13,6.0,2.0,0.0,96,5,1,5,11,New
Guest_059427,2023-07-05,2,11098.26,1.5,2.5,0.3333333333333333,180,4,5,4,13,VIP
Guest_059429,2023-07-07,1,11996.14,4.0,0.0,0.0,178,4,1,4,9,New
Guest_059437,2022-06-21,1,7162.53,2.0,1.0,0.0,559,1,1,3,5,Lapsed
Guest_059448,2022-10-14,1,3703.77,1.0,1.0,0.5,444,2,1,1,4,Lapsed
Guest_059453,2023-08-24,1,11058.73,3.0,0.0,0.0,130,4,1,4,9,New
Guest_059459,2022-07-26,1,10047.27,3.0,0.0,0.0,524,2,1,4,7,Lapsed
Guest_059473,2023-11-20,1,6470.37,2.0,0.0,0.0,42,5,1,2,8,New
Guest_059482,2022-10-06,1,28399.07,7.0,0.0,0.0,452,2,1,5,8,Lapsed
Guest_059503,2023-05-22,1,17045.84,5.0,2.0,0.0,224,4,1,5,10,New
Guest_059513,2023-05-15,2,10228.88,1.5,1.5,0.3333333333333333,231,4,5,4,13,VIP
Guest_059517,2022-04-05,1,11613.13,3.0,0.0,0.0,636,1,1,4,6,Lapsed
Guest_059522,2023-01-18,1,5998.16,2.0,0.0,0.0,348,3,1,2,6,New
Guest_059537,2022-02-11,1,7756.92,2.0,1.0,0.0,689,1,1,3,5,Lapsed
Guest_059544,2023-01-01,1,3508.39,1.0,1.0,0.0,365,3,1,1,5,New
Guest_059551,2022-04-09,1,8957.38,2.0,0.0,0.0,632,1,1,3,5,Lapsed
Guest_059565,2022-04-19,1,8990.17,2.0,2.0,0.0,622,1,1,3,5,Lapsed
Guest_059568,2023-10-25,1,3107.63,1.0,0.0,0.0,68,5,1,1,7,New
Guest_059577,2022-07-03,1,11220.79,3.0,2.0,0.0,547,2,1,4,7,Lapsed
Guest_059586,2023-02-18,1,23614.82,6.0,1.0,0.0,317,3,1,5,9,New
Guest_059609,2023-10-19,1,4146.67,1.0,1.0,0.0,74,5,1,2,8,New
Guest_059613,2023-04-20,1,4136.61,1.0,0.0,0.0,256,4,1,2,7,New
Guest_059614,2022-08-25,1,11529.74,3.0,0.0,0.0,494,2,1,4,7,Lapsed
Guest_059615,2022-11-05,1,7769.31,2.0,0.0,0.0,422,2,1,3,6,Lapsed
Guest_059625,2022-11-21,1,3643.4,1.0,2.0,0.0,406,3,1,1,5,New
Guest_059630,2023-04-26,1,29125.99,7.0,2.0,0.0,250,4,1,5,10,New
Guest_059637,2022-03-04,1,15474.68,4.0,0.0,0.0,668,1,1,5,7,Lapsed
Guest_059656,2022-08-20,1,4255.24,1.0,2.0,0.0,499,2,1,2,5,Lapsed
Guest_059667,2023-09-19,1,9544.48,3.0,0.0,0.0,104,5,1,3,9,New
Guest_059668,2023-03-11,1,6776.4,2.0,4.0,0.0,296,3,1,2,6,New
Guest_059671,2022-07-13,1,7977.92,2.0,0.0,0.0,537,2,1,3,6,Lapsed
Guest_059680,2022-12-20,1,4742.38,1.0,3.0,0.0,377,3,1,2,6,New
Guest_059686,2023-10-28,2,21347.6,3.0,3.0,0.3333333333333333,65,5,5,5,15,VIP
Guest_059689,2022-08-28,1,17096.84,4.0,1.0,0.0,491,2,1,5,8,Lapsed
Guest_059692,2023-10-22,1,4261.24,1.0,2.0,0.0,71,5,1,2,8,New
Guest_059698,2022-12-23,1,9673.35,2.0,0.0,0.0,374,3,1,3,7,New
Guest_059708,2022-04-25,1,22186.73,7.0,0.0,0.0,616,1,1,5,7,Lapsed
Guest_059713,2023-07-09,1,14242.55,4.0,3.0,0.0,176,4,1,4,9,New
Guest_059725,2022-06-24,1,3833.33,1.0,4.0,0.0,556,2,1,1,4,Lapsed
Guest_059728,2022-06-17,1,3862.26,1.0,2.0,0.0,563,1,1,1,3,Lapsed
Guest_059729,2023-02-06,1,12380.05,3.0,2.0,0.0,329,3,1,4,8,New
Guest_059738,2023-09-10,1,14563.94,2.0,4.0,0.0,113,5,1,4,10,New
Guest_059740,2022-06-15,1,5991.84,2.0,0.0,0.0,565,1,1,2,4,Lapsed
Guest_059746,2022-04-03,1,7343.1,2.0,2.0,0.0,638,1,1,3,5,Lapsed
Guest_059752,2023-06-14,1,6303.16,2.0,0.0,0.0,201,4,1,2,7,New
Guest_059756,2023-02-24,1,4263.62,1.0,3.0,0.0,311,3,1,2,6,New
Guest_059763,2023-11-30,1,24227.8,7.0,3.0,0.0,32,5,1,5,11,New
Guest_059777,2022-09-04,1,11419.67,3.0,3.0,0.0,484,2,1,4,7,Lapsed
Guest_059781,2022-04-28,1,2757.08,1.0,2.0,0.0,613,1,1,1,3,Lapsed
Guest_059786,2022-08-05,1,11655.17,3.0,5.0,0.0,514,2,1,4,7,Lapsed
Guest_059788,2023-06-22,1,10746.59,3.0,0.0,0.0,193,4,1,4,9,New
Guest_059789,2022-09-09,1,7031.53,1.0,0.0,0.0,479,2,1,3,6,Lapsed
Guest_059801,2022-02-17,1,11848.84,4.0,1.0,0.0,683,1,1,4,6,Lapsed
Guest_059817,2023-07-07,1,3633.48,1.0,2.0,0.0,178,4,1,1,6,New
Guest_059820,2022-09-08,1,3688.44,1.0,1.0,0.0,480,2,1,1,4,Lapsed
Guest_059824,2023-11-06,1,6253.12,2.0,0.0,0.0,56,5,1,2,8,New
Guest_059827,2022-03-30,1,3577.34,1.0,0.0,0.0,642,1,1,1,3,Lapsed
Guest_059831,2023-02-07,1,3416.43,1.0,1.0,0.0,328,3,1,1,5,New
Guest_059834,2023-12-30,1,6291.14,1.0,1.0,0.0,2,5,1,2,8,New
Guest_059855,2022-10-22,1,6502.16,2.0,0.0,0.5,436,2,1,2,5,Lapsed
Guest_059865,2022-10-09,1,23741.49,6.0,1.0,0.0,449,2,1,5,8,Lapsed
Guest_059870,2023-11-04,1,3992.99,1.0,1.0,0.0,58,5,1,1,7,New
Guest_059883,2022-09-18,1,16822.31,4.0,0.0,0.0,470,2,1,5,8,Lapsed
Guest_059889,2023-07-08,1,4474.3,1.0,0.0,0.0,177,4,1,2,7,New
Guest_059893,2022-07-17,1,6590.19,2.0,1.0,0.5,533,2,1,2,5,Lapsed
Guest_059896,2022-04-10,1,4019.67,1.0,0.0,0.0,631,1,1,2,4,Lapsed
Guest_059913,2023-05-31,1,15882.27,5.0,0.0,0.0,215,4,1,5,10,New
Guest_059918,2023-11-11,1,4215.52,1.0,1.0,0.0,51,5,1,2,8,New
Guest_059919,2022-04-06,1,8130.73,2.0,0.0,0.0,635,1,1,3,5,Lapsed
Guest_059926,2023-09-25,1,7984.52,2.0,1.0,0.0,98,5,1,3,9,New
Guest_059932,2023-11-01,1,3750.29,1.0,1.0,0.0,61,5,1,1,7,New
Guest_059946,2022-08-16,1,5951.05,2.0,3.0,0.0,503,2,1,2,5,Lapsed
Guest_059957,2022-08-14,1,7607.82,2.0,0.0,0.0,505,2,1,3,6,Lapsed
Guest_059959,2023-02-15,1,10714.97,3.0,0.0,0.0,320,3,1,4,8,New
Guest_059960,2023-08-11,1,30856.67,5.0,2.0,0.0,143,4,1,5,10,New
Guest_059966,2022-10-07,1,15315.37,4.0,0.0,0.0,451,2,1,5,8,Lapsed
Guest_059975,2022-10-09,1,27387.9,6.0,4.0,0.0,449,2,1,5,8,Lapsed
Guest_059978,2023-09-21,2,22381.46,2.0,0.5,0.0,102,5,5,5,15,VIP
Guest_059981,2023-08-06,1,9665.53,2.0,1.0,0.5,148,4,1,3,8,New
Guest_059984,2022-03-11,1,8663.29,2.0,0.0,0.0,661,1,1,3,5,Lapsed
Guest_060006,2023-09-02,1,26415.33,4.0,0.0,0.0,121,4,1,5,10,New
Guest_060008,2022-03-14,1,13461.1,4.0,3.0,0.0,658,1,1,4,6,Lapsed
Guest_060011,2022-05-11,1,6853.62,2.0,3.0,0.0,600,1,1,2,4,Lapsed
Guest_060020,2023-06-16,1,6671.15,2.0,2.0,0.0,199,4,1,2,7,New
Guest_060024,2022-08-26,1,12407.91,3.0,1.0,0.0,493,2,1,4,7,Lapsed
Guest_060028,2022-01-05,1,2861.01,1.0,1.0,0.0,726,1,1,1,3,Lapsed
Guest_060034,2022-07-22,1,7668.3,2.0,0.0,0.0,528,2,1,3,6,Lapsed
Guest_060045,2022-11-08,1,3077.7,1.0,0.0,0.0,419,3,1,1,5,New
Guest_060061,2023-04-27,2,29099.489999999998,4.0,2.5,0.0,249,4,5,5,14,VIP
Guest_060067,2022-10-23,1,3217.03,1.0,4.0,0.0,435,2,1,1,4,Lapsed
Guest_060080,2022-01-18,1,6124.68,2.0,0.0,0.0,713,1,1,2,4,Lapsed
Guest_060087,2023-12-08,1,20927.48,5.0,5.0,0.0,24,5,1,5,11,New
Guest_060088,2022-02-25,1,20371.61,6.0,3.0,0.0,675,1,1,5,7,Lapsed
Guest_060100,2022-07-29,1,8420.56,2.0,0.0,0.0,521,2,1,3,6,Lapsed
Guest_060108,2023-04-27,1,7513.65,2.0,2.0,0.0,249,4,1,3,8,New
Guest_060120,2022-01-23,1,4352.94,1.0,1.0,0.0,708,1,1,2,4,Lapsed
Guest_060121,2022-11-01,1,3334.99,1.0,1.0,0.0,426,2,1,1,4,Lapsed
Guest_060127,2023-02-23,1,8587.25,3.0,2.0,0.5,312,3,1,3,7,New
Guest_060168,2023-12-26,1,3634.25,1.0,3.0,0.0,6,5,1,1,7,New
Guest_060169,2023-10-14,1,5510.87,1.0,0.0,0.0,79,5,1,2,8,New
Guest_060174,2023-01-13,1,16500.33,4.0,0.0,0.0,353,3,1,5,9,New
Guest_060177,2022-08-24,1,6454.22,2.0,0.0,0.0,495,2,1,2,5,Lapsed
Guest_060181,2022-04-09,1,12681.31,3.0,0.0,0.0,632,1,1,4,6,Lapsed
Guest_060183,2023-04-27,1,3138.42,1.0,4.0,0.0,249,4,1,1,6,New
Guest_060190,2023-02-04,1,12008.51,2.0,1.0,0.0,331,3,1,4,8,New
Guest_060193,2023-11-17,1,7701.41,2.0,1.0,0.0,45,5,1,3,9,New
Guest_060201,2022-05-08,1,16511.08,4.0,0.0,0.0,603,1,1,5,7,Lapsed
Guest_060202,2023-11-16,1,3768.02,1.0,3.0,0.0,46,5,1,1,7,New
Guest_060208,2023-09-17,1,16363.74,4.0,0.0,0.5,106,5,1,5,11,New
Guest_060211,2023-11-14,1,3513.68,1.0,1.0,0.0,48,5,1,1,7,New
Guest_060212,2022-05-22,1,12290.79,4.0,0.0,0.6666666666666666,589,1,1,4,6,Lapsed
Guest_060215,2022-04-19,1,17163.96,3.0,0.0,0.0,622,1,1,5,7,Lapsed
Guest_060218,2023-03-21,1,2557.41,1.0,0.0,0.0,286,3,1,1,5,New
Guest_060219,2022-08-22,1,6616.4,2.0,0.0,0.0,497,2,1,2,5,Lapsed
Guest_060223,2023-06-18,1,12057.36,3.0,4.0,0.0,197,4,1,4,9,New
Guest_060227,2023-12-01,1,10530.07,3.0,1.0,0.0,31,5,1,4,10,New
Guest_060230,2023-06-12,2,9317.08,1.5,0.5,0.0,203,4,5,3,12,Loyal
Guest_060251,2023-12-27,1,16716.62,5.0,1.0,0.0,5,5,1,5,11,New
Guest_060274,2023-09-20,1,3844.44,1.0,5.0,0.5,103,5,1,1,7,New
Guest_060275,2023-05-22,2,9671.04,1.5,2.0,0.0,224,4,5,3,12,Loyal
Guest_060280,2022-07-01,1,3693.86,1.0,2.0,0.0,549,2,1,1,4,Lapsed
Guest_060289,2022-05-15,1,7169.88,2.0,0.0,0.0,596,1,1,3,5,Lapsed
Guest_060294,2023-02-05,1,27142.89,6.0,2.0,0.0,330,3,1,5,9,New
Guest_060297,2023-08-24,1,8377.6,2.0,1.0,0.0,130,4,1,3,8,New
Guest_060298,2023-08-17,1,15143.97,5.0,3.0,0.5,137,4,1,4,9,New
Guest_060304,2022-12-13,1,17907.62,5.0,1.0,0.0,384,3,1,5,9,New
Guest_060307,2023-12-28,1,3781.83,1.0,0.0,0.0,4,5,1,1,7,New
Guest_060311,2023-04-03,3,26126.260000000002,2.3333333333333335,0.3333333333333333,0.0,273,3,5,5,13,VIP
Guest_060313,2023-07-25,1,2985.29,1.0,3.0,0.5,160,4,1,1,6,New
Guest_060314,2022-02-19,1,23529.41,7.0,2.0,0.0,681,1,1,5,7,Lapsed
Guest_060318,2023-12-14,1,3962.34,1.0,1.0,0.0,18,5,1,1,7,New
Guest_060320,2023-09-22,1,4218.96,1.0,0.0,0.0,101,5,1,2,8,New
Guest_060321,2023-04-16,1,12429.98,3.0,0.0,0.0,260,4,1,4,9,New
Guest_060324,2023-09-12,1,3111.14,1.0,1.0,0.0,111,5,1,1,7,New
Guest_060328,2022-05-29,1,3462.27,1.0,0.0,0.0,582,1,1,1,3,Lapsed
Guest_060341,2023-11-20,1,2647.87,1.0,1.0,0.0,42,5,1,1,7,New
Guest_060346,2023-09-12,1,4190.33,1.0,1.0,0.0,111,5,1,2,8,New
Guest_060353,2023-06-15,1,3712.87,1.0,2.0,0.0,200,4,1,1,6,New
Guest_060365,2022-09-30,1,22779.79,5.0,1.0,0.0,458,2,1,5,8,Lapsed
Guest_060382,2023-10-13,2,7831.17,1.0,1.0,0.0,80,5,5,3,13,VIP
Guest_060387,2023-04-09,1,13459.05,3.0,0.0,0.0,267,4,1,4,9,New
Guest_060389,2022-01-22,1,4263.34,1.0,5.0,0.0,709,1,1,2,4,Lapsed
Guest_060393,2023-02-16,1,6271.4,2.0,0.0,0.5,319,3,1,2,6,New
Guest_060396,2023-09-18,1,6863.9,2.0,0.0,0.0,105,5,1,2,8,New
Guest_060399,2022-07-07,1,7228.64,2.0,3.0,0.0,543,2,1,3,6,Lapsed
Guest_060401,2023-10-16,1,3618.38,1.0,0.0,0.5,77,5,1,1,7,New
Guest_060403,2023-08-13,1,3288.13,1.0,0.0,0.0,141,4,1,1,6,New
Guest_060420,2022-09-24,1,4347.74,1.0,0.0,0.0,464,2,1,2,5,Lapsed
Guest_060421,2023-03-06,1,15440.68,4.0,0.0,0.0,301,3,1,5,9,New
Guest_060422,2022-07-01,1,7294.74,2.0,1.0,0.0,549,2,1,3,6,Lapsed
Guest_060424,2023-04-28,1,13088.14,3.0,1.0,0.0,248,4,1,4,9,New
